id,plot,sentinel_id
5175,"((34.89622654400006,32.13986799700007),(34.89543411900007,32.13917960100002),(34.895407714000044,32.139218206000066),(34.895346473000075,32.13924133800003),(34.895309112000064,32.13934258900008),(34.89530895000007,32.13939052000006),(34.89517537900008,32.13950687100004),(34.89513604000007,32.139594153000075),(34.895896047000065,32.140281550000054),(34.89623146300005,32.140012729000034),(34.89620667400004,32.13999117700007),(34.89623686900006,32.139966034000054),(34.89618444900003,32.139899367000055),(34.89622654400006,32.13986799700007))",36SXA
226067,"((35.411957907000044,32.489410908000025),(35.41138382500003,32.49048133800005),(35.411520772000074,32.49043723300008),(35.41193187400006,32.490418488000046),(35.412209139000026,32.49047223500003),(35.41292797300002,32.490512344000024),(35.41325101100006,32.49060472900004),(35.413339277000034,32.49058135300004),(35.413448594000045,32.490441789000045),(35.41346922500003,32.49014492200007),(35.413319382000054,32.48987931200003),(35.413121079000064,32.48972993500007),(35.41307521300007,32.489649995000036),(35.41299268100005,32.48951849200006),(35.41286450900003,32.48940513500003),(35.41277915200004,32.489369140000065),(35.412706032000074,32.48935635500004),(35.41251723700003,32.48936699200004),(35.41222189800004,32.489398454000025),(35.41206357500005,32.48941678400007),(35.411957907000044,32.489410908000025))",36SYA
18614,"((34.999117838000075,32.36469536800007),(34.997841238000035,32.36468571300003),(34.99759968500007,32.36468711500004),(34.99778960500004,32.36572972300007),(34.99779106200003,32.36573754400007),(35.000369404000025,32.36572076700003),(35.00036948600007,32.36568385600003),(35.00035492000006,32.365623105000054),(34.99926615900006,32.36474332700004),(34.99919252500007,32.36471256900006),(34.999117838000075,32.36469536800007))",36SXA
144806,"((35.004736570000034,32.477672244000075),(35.00421369500003,32.47764647500003),(35.004197926000074,32.478545309000026),(35.00469641300003,32.47863279200004),(35.004736570000034,32.477672244000075))",36SXA
231615,"((35.23990744100007,30.77714114400004),(35.239730792000046,30.777140381000038),(35.23972992100005,30.77732889500004),(35.23990751000008,30.777328846000046),(35.23990744100007,30.77714114400004))",36RYV
247298,"((35.10484285900003,32.925719901000036),(35.10491760600007,32.92571972700006),(35.10606640700007,32.92567466500003),(35.10680105700004,32.92564548100006),(35.106452654000066,32.925225788000034),(35.106190051000056,32.92484483900006),(35.105659253000056,32.924832249000076),(35.10420769900003,32.92490875100003),(35.10233886700007,32.925007220000055),(35.10069815000003,32.92509364700004),(35.10073637000005,32.925875864000034),(35.10484285900003,32.925719901000036))",36SXB
146467,"((34.95812093300003,32.32262454700003),(34.957488331000036,32.32254338600006),(34.95752831800007,32.323999866000065),(34.95823842600004,32.323958653000034),(34.95820457700006,32.322916916000054),(34.95813246700004,32.32290812700006),(34.95812093300003,32.32262454700003))",36SXA
25243,"((34.97905855100004,32.52304899000006),(34.97862661800008,32.52297723800007),(34.978060321000044,32.52291976200007),(34.97544398300005,32.52470354700006),(34.976094843000055,32.52499634600008),(34.97905855100004,32.52304899000006))",36SXB
200907,"((35.25445196600003,32.83730330800006),(35.254553387000044,32.83726364100005),(35.25494035400004,32.837058815000034),(35.25516280200003,32.83694107000008),(35.254786323000076,32.83633965100006),(35.25462431100004,32.83646638100004),(35.25436270300003,32.83659209100006),(35.25406176800004,32.83667958500007),(35.25399961800008,32.83670106900007),(35.25402220600006,32.836794025000074),(35.25403517800004,32.83688076200008),(35.25404688300006,32.83699409900004),(35.25406083800004,32.83711969900003),(35.25407472300003,32.83731076200007),(35.254205230000025,32.837324729000045),(35.25425855100008,32.83733043500007),(35.25434517300005,32.83733148300007),(35.25445196600003,32.83730330800006))",36SYB
92619,"((35.41051702400006,32.75327766500004),(35.41076529900005,32.75320091300006),(35.41164600400003,32.75252923900007),(35.41157941800003,32.75229539000003),(35.410960947000035,32.75219960100003),(35.41090818600003,32.75219142800006),(35.410028630000056,32.75206650600006),(35.41004042900005,32.75228597600005),(35.410001462000025,32.75252938600005),(35.40996244000007,32.75274893900007),(35.40994600400006,32.75296845500003),(35.40997454400008,32.75310201100007),(35.41006517500006,32.753225920000034),(35.41014440300006,32.75330213500007),(35.41025747700007,32.75336397900003),(35.41034217600003,32.75336384000008),(35.41051702400006,32.75327766500004))",36SYB
